_Leaf_,code,DGNS_DESC,all_pc,prnc_pc,all_cnt,prnc_cnt,leaf_total
2,Z798,other long term (current) drug therapy,22.253521127,0,158,,710
2,M541,radiculopathy,15.211267606,,108,,710
2,M472,other spondylosis with radiculopathy,14.647887324,7.1830985915,104,51,710
2,F329,"major depressive disorder, single episode, unspecified",14.084507042,0,100,,710
2,G473,sleep apnea,13.802816901,0,98,,710
2,E780,pure hypercholesterolemia,12.253521127,0,87,,710
2,E669,"obesity, unspecified",11.690140845,0,83,,710
2,M199,"osteoarthritis, unspecified site",11.690140845,0,83,,710
2,D62,acute posthemorrhagic anemia,11.408450704,0,81,,710
2,M513,"oth thoracic, thrclm and lumbosacr intvrt disc degeneration",10.281690141,3.2394366197,73,23,710
2,M478,other spondylosis,9.7183098592,2.676056338,69,19,710
2,M512,"oth thoracic, thrclm and lumbosacr intvrt disc displacmnt",9.5774647887,3.5211267606,68,25,710
2,Z966,presence of orthopedic joint implants,9.5774647887,0,68,,710
2,J459,other and unspecified asthma,8.4507042254,0,60,,710
2,G892,"chronic pain, not elsewhere classified",7.6056338028,0,54,,710
2,K590,constipation,6.9014084507,0,49,,710
2,M545,low back pain,6.1971830986,0,44,,710
2,Z880,allergy status to penicillin,6.0563380282,0,43,,710
2,Z858,personal history of malig neoplasms of organs and systems,5.7746478873,0,41,,710
2,Z981,arthrodesis status,5.7746478873,0,41,,710
2,M713,other bursal cyst,5.3521126761,,38,,710
2,M532,spinal instabilities,4.5070422535,,32,,710
2,Z910,"allergy status, oth than to drugs and biological substances",4.2253521127,0,30,,710
2,Z907,acquired absence of genital organ(s),4.0845070423,0,29,,710
2,M069,"rheumatoid arthritis, unspecified",3.9436619718,0,28,,710
2,M961,"postlaminectomy syndrome, not elsewhere classified",3.8028169014,,27,,710
2,G974,accidental pnctr & lac of a nervous system org dur proc,3.8028169014,0,27,,710
2,H919,unspecified hearing loss,2.9577464789,0,21,,710
2,Z854,personal history of malignant neoplasm of genital organs,2.9577464789,0,21,,710
2,E876,hypokalemia,2.8169014085,,20,,710
2,M418,other forms of scoliosis,2.8169014085,,20,,710
2,G961,"disorders of meninges, not elsewhere classified",2.676056338,,19,,710
2,M419,"scoliosis, unspecified",2.676056338,0,19,,710
2,M960,pseudarthrosis after fusion or arthrodesis,2.5352112676,,18,,710
2,M796,"pain in limb, hand, foot, fingers and toes",2.1126760563,0,15,,710
2,M479,"spondylosis, unspecified",1.8309859155,,13,,710
2,G891,"acute pain, not elsewhere classified",1.8309859155,0,13,,710
2,K589,irritable bowel syndrome without diarrhea,1.8309859155,0,13,,710
2,G439,"migraine, unspecified",,0,,,710
2,G834,cauda equina syndrome,,0,,,710
2,M471,other spondylosis with myelopathy,,,,,710
2,M510,"thoracic, thrclm and lumbosacr intvrt disc disord w myelpath",,,,,710
2,T842,mechanical complication of internal fixation device of bones,,,,,710
2,Z984,cataract extraction status,,0,,,710
2,G92,toxic encephalopathy,,0,,,710
2,M402,other and unspecified kyphosis,,0,,,710
2,M430,spondylolysis,,,,,710
2,M968,"oth intraop and postproc comp and disorders of ms sys, nec",,0,,,710
2,S320,fracture of lumbar vertebra,,,,,710
2,M432,fusion of spine,,0,,,710
2,M464,"discitis, unspecified",,0,,,710
2,M412,other idiopathic scoliosis,,,,,710
2,M462,osteomyelitis of vertebra,,,,,710
2,G960,cerebrospinal fluid leak,,0,,,710
2,M129,"arthropathy, unspecified",,0,,,710
2,M415,other secondary scoliosis,,0,,,710
2,M485,"collapsed vertebra, not elsewhere classified",,0,,,710
2,M503,other cervical disc degeneration,,0,,,710
2,M966,fx bone following insrt ortho implnt/prosth/bone plt,,,,,710
2,T843,"mechanical complication of bone devices, implants and grafts",,,,,710
2,M400,postural kyphosis,,0,,,710
2,M438,other specified deforming dorsopathies,,0,,,710
2,M468,other specified inflammatory spondylopathies,,0,,,710
2,M800,age-related osteoporosis with current pathological fracture,,0,,,710
2,M844,"pathological fracture, not elsewhere classified",,0,,,710
2,M997,connective tiss and disc stenosis of intervertebral foramina,,0,,,710
2,T856,mechanical comp of internal and external prosth dev/grft,,0,,,710
2,A410,sepsis due to staphylococcus aureus,,,,,710
2,A415,sepsis due to other gram-negative organisms,,,,,710
2,S321,fracture of sacrum,,,,,710
2,T814,infection following a procedure,,,,,710
2,T848,oth complications of internal orthopedic prosth dev/grft,,,,,710
2,A419,"sepsis, unspecified organism",,0,,,710
2,G402,local-rel (focal) symptc epilepsy w complex partial seizures,,0,,,710
2,M401,other secondary kyphosis,,0,,,710
2,M469,unspecified inflammatory spondylopathy,,0,,,710
2,M518,"oth thoracic, thoracolum and lumbosacr intvrt disc disorders",,0,,,710
2,M846,pathological fracture in other disease,,0,,,710
2,M963,postlaminectomy kyphosis,,0,,,710
2,Q762,congenital spondylolisthesis,,0,,,710
2,Q764,"oth congenital malform of spine, not associated w scoliosis",,0,,,710
2,T840,mechanical complication of internal joint prosthesis,,0,,,710
3,M511,"thor, thrclm & lumbosacr intvrt disc disord w radiculopathy",100,85.798816568,169,145,169
3,I10,essential (primary) hypertension,62.130177515,0,105,,169
3,E785,"hyperlipidemia, unspecified",38.461538462,0,65,,169
3,K219,gastro-esophageal reflux disease without esophagitis,29.585798817,0,50,,169
3,Z798,other long term (current) drug therapy,23.076923077,0,39,,169
3,M472,other spondylosis with radiculopathy,18.343195266,,31,,169
3,Z878,personal history of other specified conditions,18.343195266,0,31,,169
3,E669,"obesity, unspecified",15.976331361,0,27,,169
3,E780,pure hypercholesterolemia,15.384615385,0,26,,169
3,F329,"major depressive disorder, single episode, unspecified",15.384615385,0,26,,169
3,Z981,arthrodesis status,14.792899408,0,25,,169
3,G473,sleep apnea,12.426035503,0,21,,169
3,M199,"osteoarthritis, unspecified site",11.24260355,0,19,,169
3,M512,"oth thoracic, thrclm and lumbosacr intvrt disc displacmnt",10.650887574,,18,,169
3,D62,acute posthemorrhagic anemia,10.059171598,0,17,,169
3,J459,other and unspecified asthma,8.875739645,0,15,,169
3,Z966,presence of orthopedic joint implants,8.2840236686,0,14,,169
3,M513,"oth thoracic, thrclm and lumbosacr intvrt disc degeneration",7.6923076923,,13,,169
3,G892,"chronic pain, not elsewhere classified",7.6923076923,0,13,,169
3,K590,constipation,7.100591716,0,12,,169
3,M961,"postlaminectomy syndrome, not elsewhere classified",6.5088757396,,11,,169
3,M478,other spondylosis,,0,,,169
3,M532,spinal instabilities,,0,,,169
3,E876,hypokalemia,,0,,,169
3,G974,accidental pnctr & lac of a nervous system org dur proc,,0,,,169
3,Z880,allergy status to penicillin,,0,,,169
3,G891,"acute pain, not elsewhere classified",,0,,,169
3,M541,radiculopathy,,0,,,169
3,M545,low back pain,,0,,,169
3,M960,pseudarthrosis after fusion or arthrodesis,,,,,169
3,T842,mechanical complication of internal fixation device of bones,,,,,169
3,Z858,personal history of malig neoplasms of organs and systems,,0,,,169
3,M069,"rheumatoid arthritis, unspecified",,0,,,169
3,M713,other bursal cyst,,0,,,169
3,Z907,acquired absence of genital organ(s),,0,,,169
3,G961,"disorders of meninges, not elsewhere classified",,0,,,169
3,K589,irritable bowel syndrome without diarrhea,,0,,,169
3,Z854,personal history of malignant neoplasm of genital organs,,0,,,169
3,Z910,"allergy status, oth than to drugs and biological substances",,0,,,169
3,M418,other forms of scoliosis,,,,,169
3,H919,unspecified hearing loss,,0,,,169
3,M419,"scoliosis, unspecified",,0,,,169
3,M796,"pain in limb, hand, foot, fingers and toes",,0,,,169
3,M997,connective tiss and disc stenosis of intervertebral foramina,,0,,,169
3,G402,local-rel (focal) symptc epilepsy w complex partial seizures,,,,,169
3,M401,other secondary kyphosis,,,,,169
3,M430,spondylolysis,,,,,169
3,M469,unspecified inflammatory spondylopathy,,,,,169
3,G439,"migraine, unspecified",,0,,,169
3,G834,cauda equina syndrome,,0,,,169
3,G92,toxic encephalopathy,,0,,,169
3,G960,cerebrospinal fluid leak,,0,,,169
3,M129,"arthropathy, unspecified",,0,,,169
3,M402,other and unspecified kyphosis,,0,,,169
3,M403,flatback syndrome,,0,,,169
3,M411,juvenile and adolescent idiopathic scoliosis,,0,,,169
3,M412,other idiopathic scoliosis,,0,,,169
3,M413,thoracogenic scoliosis,,0,,,169
3,M415,other secondary scoliosis,,0,,,169
3,M479,"spondylosis, unspecified",,0,,,169
3,M481,ankylosing hyperostosis [forestier],,0,,,169
3,M485,"collapsed vertebra, not elsewhere classified",,0,,,169
3,M519,"unsp thoracic, thoracolum and lumbosacr intvrt disc disorder",,0,,,169
3,T856,mechanical comp of internal and external prosth dev/grft,,0,,,169
3,Z984,cataract extraction status,,0,,,169
4,M512,"oth thoracic, thrclm and lumbosacr intvrt disc displacmnt",100,61.971830986,71,44,71
4,I10,essential (primary) hypertension,64.788732394,0,46,,71
4,E785,"hyperlipidemia, unspecified",43.661971831,0,31,,71
4,K219,gastro-esophageal reflux disease without esophagitis,30.985915493,0,22,,71
4,Z798,other long term (current) drug therapy,22.535211268,0,16,,71
4,Z878,personal history of other specified conditions,22.535211268,0,16,,71
4,M478,other spondylosis,16.901408451,,12,,71
4,M513,"oth thoracic, thrclm and lumbosacr intvrt disc degeneration",16.901408451,,12,,71
4,M199,"osteoarthritis, unspecified site",15.492957746,0,11,,71
4,D62,acute posthemorrhagic anemia,,0,,,71
4,Z981,arthrodesis status,,0,,,71
4,M472,other spondylosis with radiculopathy,,,,,71
4,G473,sleep apnea,,0,,,71
4,Z880,allergy status to penicillin,,0,,,71
4,E669,"obesity, unspecified",,0,,,71
4,E780,pure hypercholesterolemia,,0,,,71
4,M532,spinal instabilities,,,,,71
4,M541,radiculopathy,,,,,71
4,F329,"major depressive disorder, single episode, unspecified",,0,,,71
4,M545,low back pain,,0,,,71
4,M961,"postlaminectomy syndrome, not elsewhere classified",,,,,71
4,G892,"chronic pain, not elsewhere classified",,0,,,71
4,K590,constipation,,0,,,71
4,M479,"spondylosis, unspecified",,0,,,71
4,Z966,presence of orthopedic joint implants,,0,,,71
4,M713,other bursal cyst,,,,,71
4,Z907,acquired absence of genital organ(s),,0,,,71
4,G834,cauda equina syndrome,,0,,,71
4,J459,other and unspecified asthma,,0,,,71
4,M069,"rheumatoid arthritis, unspecified",,0,,,71
4,Z910,"allergy status, oth than to drugs and biological substances",,0,,,71
4,M419,"scoliosis, unspecified",,,,,71
4,M510,"thoracic, thrclm and lumbosacr intvrt disc disord w myelpath",,,,,71
4,M418,other forms of scoliosis,,,,,71
4,E876,hypokalemia,,0,,,71
4,G891,"acute pain, not elsewhere classified",,0,,,71
4,H919,unspecified hearing loss,,0,,,71
4,Z854,personal history of malignant neoplasm of genital organs,,0,,,71
4,Z858,personal history of malig neoplasms of organs and systems,,0,,,71
4,M471,other spondylosis with myelopathy,,,,,71
4,S331,subluxation and dislocation of lumbar vertebra,,,,,71
4,T844,"mech comp of internal orth devices, implants and grafts",,,,,71
4,G961,"disorders of meninges, not elsewhere classified",,0,,,71
4,M402,other and unspecified kyphosis,,0,,,71
4,M485,"collapsed vertebra, not elsewhere classified",,0,,,71
4,M519,"unsp thoracic, thoracolum and lumbosacr intvrt disc disorder",,0,,,71
4,M968,"oth intraop and postproc comp and disorders of ms sys, nec",,0,,,71
4,Q762,congenital spondylolisthesis,,0,,,71
4,S320,fracture of lumbar vertebra,,0,,,71
4,T842,mechanical complication of internal fixation device of bones,,0,,,71
5,M472,other spondylosis with radiculopathy,100,82.456140351,57,47,57
5,I10,essential (primary) hypertension,70.175438596,0,40,,57
5,E785,"hyperlipidemia, unspecified",35.087719298,0,20,,57
5,K219,gastro-esophageal reflux disease without esophagitis,33.333333333,0,19,,57
5,Z798,other long term (current) drug therapy,22.807017544,0,13,,57
5,Z878,personal history of other specified conditions,21.052631579,0,12,,57
5,E669,"obesity, unspecified",,0,,,57
5,G473,sleep apnea,,0,,,57
5,F329,"major depressive disorder, single episode, unspecified",,0,,,57
5,Z981,arthrodesis status,,0,,,57
5,E780,pure hypercholesterolemia,,0,,,57
5,M513,"oth thoracic, thrclm and lumbosacr intvrt disc degeneration",,,,,57
5,M478,other spondylosis,,,,,57
5,D62,acute posthemorrhagic anemia,,0,,,57
5,M541,radiculopathy,,0,,,57
5,K590,constipation,,0,,,57
5,M199,"osteoarthritis, unspecified site",,0,,,57
5,M419,"scoliosis, unspecified",,0,,,57
5,M961,"postlaminectomy syndrome, not elsewhere classified",,0,,,57
5,Z854,personal history of malignant neoplasm of genital organs,,0,,,57
5,G974,accidental pnctr & lac of a nervous system org dur proc,,0,,,57
5,H919,unspecified hearing loss,,0,,,57
5,J459,other and unspecified asthma,,0,,,57
5,M418,other forms of scoliosis,,0,,,57
5,M471,other spondylosis with myelopathy,,,,,57
5,G961,"disorders of meninges, not elsewhere classified",,0,,,57
5,M532,spinal instabilities,,0,,,57
5,M545,low back pain,,0,,,57
5,M713,other bursal cyst,,0,,,57
5,M968,"oth intraop and postproc comp and disorders of ms sys, nec",,0,,,57
5,Z907,acquired absence of genital organ(s),,0,,,57
5,Z984,cataract extraction status,,0,,,57
5,C795,secondary malignant neoplasm of bone and bone marrow,,,,,57
5,K264,chronic or unspecified duodenal ulcer with hemorrhage,,,,,57
5,M411,juvenile and adolescent idiopathic scoliosis,,,,,57
5,M960,pseudarthrosis after fusion or arthrodesis,,,,,57
5,S331,subluxation and dislocation of lumbar vertebra,,,,,57
5,T842,mechanical complication of internal fixation device of bones,,,,,57
5,G439,"migraine, unspecified",,0,,,57
5,G960,cerebrospinal fluid leak,,0,,,57
5,M402,other and unspecified kyphosis,,0,,,57
5,M403,flatback syndrome,,0,,,57
5,M430,spondylolysis,,0,,,57
5,M462,osteomyelitis of vertebra,,0,,,57
5,M479,"spondylosis, unspecified",,0,,,57
5,M510,"thoracic, thrclm and lumbosacr intvrt disc disord w myelpath",,0,,,57
5,M796,"pain in limb, hand, foot, fingers and toes",,0,,,57
5,M845,pathological fracture in neoplastic disease,,0,,,57
5,T848,oth complications of internal orthopedic prosth dev/grft,,0,,,57
5,Z858,personal history of malig neoplasms of organs and systems,,0,,,57
5,Z880,allergy status to penicillin,,0,,,57
5,Z910,"allergy status, oth than to drugs and biological substances",,0,,,57
6,M513,"oth thoracic, thrclm and lumbosacr intvrt disc degeneration",100,70,60,42,60
6,I10,essential (primary) hypertension,58.333333333,0,35,,60
6,E785,"hyperlipidemia, unspecified",33.333333333,0,20,,60
6,K219,gastro-esophageal reflux disease without esophagitis,31.666666667,0,19,,60
6,Z878,personal history of other specified conditions,26.666666667,0,16,,60
6,D62,acute posthemorrhagic anemia,23.333333333,0,14,,60
6,M478,other spondylosis,18.333333333,,11,,60
6,G473,sleep apnea,,0,,,60
6,M199,"osteoarthritis, unspecified site",,0,,,60
6,Z981,arthrodesis status,,0,,,60
6,Z966,presence of orthopedic joint implants,,0,,,60
6,E780,pure hypercholesterolemia,,0,,,60
6,F329,"major depressive disorder, single episode, unspecified",,0,,,60
6,M545,low back pain,,0,,,60
6,Z798,other long term (current) drug therapy,,0,,,60
6,M960,pseudarthrosis after fusion or arthrodesis,,,,,60
6,G892,"chronic pain, not elsewhere classified",,0,,,60
6,J459,other and unspecified asthma,,0,,,60
6,K590,constipation,,0,,,60
6,E669,"obesity, unspecified",,0,,,60
6,M532,spinal instabilities,,0,,,60
6,M419,"scoliosis, unspecified",,,,,60
6,H919,unspecified hearing loss,,0,,,60
6,M418,other forms of scoliosis,,0,,,60
6,M961,"postlaminectomy syndrome, not elsewhere classified",,0,,,60
6,Z907,acquired absence of genital organ(s),,0,,,60
6,M464,"discitis, unspecified",,,,,60
6,T842,mechanical complication of internal fixation device of bones,,,,,60
6,E876,hypokalemia,,0,,,60
6,G891,"acute pain, not elsewhere classified",,0,,,60
6,G92,toxic encephalopathy,,0,,,60
6,M069,"rheumatoid arthritis, unspecified",,0,,,60
6,M479,"spondylosis, unspecified",,0,,,60
6,M541,radiculopathy,,0,,,60
6,Z880,allergy status to penicillin,,0,,,60
6,M462,osteomyelitis of vertebra,,,,,60
6,T844,"mech comp of internal orth devices, implants and grafts",,,,,60
6,T848,oth complications of internal orthopedic prosth dev/grft,,,,,60
6,A419,"sepsis, unspecified organism",,0,,,60
6,G439,"migraine, unspecified",,0,,,60
6,G974,accidental pnctr & lac of a nervous system org dur proc,,0,,,60
6,K589,irritable bowel syndrome without diarrhea,,0,,,60
6,M430,spondylolysis,,0,,,60
6,M963,postlaminectomy kyphosis,,0,,,60
6,T814,infection following a procedure,,0,,,60
6,T840,mechanical complication of internal joint prosthesis,,0,,,60
6,Z854,personal history of malignant neoplasm of genital organs,,0,,,60
6,Z910,"allergy status, oth than to drugs and biological substances",,0,,,60
7,M960,pseudarthrosis after fusion or arthrodesis,100,81.481481481,27,22,27
7,E785,"hyperlipidemia, unspecified",48.148148148,0,13,,27
7,I10,essential (primary) hypertension,48.148148148,0,13,,27
7,K219,gastro-esophageal reflux disease without esophagitis,,0,,,27
7,F329,"major depressive disorder, single episode, unspecified",,0,,,27
7,M541,radiculopathy,,0,,,27
7,G473,sleep apnea,,0,,,27
7,T840,mechanical complication of internal joint prosthesis,,,,,27
7,D62,acute posthemorrhagic anemia,,0,,,27
7,E780,pure hypercholesterolemia,,0,,,27
7,Z858,personal history of malig neoplasms of organs and systems,,0,,,27
7,Z907,acquired absence of genital organ(s),,0,,,27
7,Z966,presence of orthopedic joint implants,,0,,,27
7,Z981,arthrodesis status,,0,,,27
7,T842,mechanical complication of internal fixation device of bones,,,,,27
7,J459,other and unspecified asthma,,0,,,27
7,Z878,personal history of other specified conditions,,0,,,27
7,E669,"obesity, unspecified",,0,,,27
7,G439,"migraine, unspecified",,0,,,27
7,G892,"chronic pain, not elsewhere classified",,0,,,27
7,K589,irritable bowel syndrome without diarrhea,,0,,,27
7,M199,"osteoarthritis, unspecified site",,0,,,27
7,M419,"scoliosis, unspecified",,0,,,27
7,M462,osteomyelitis of vertebra,,0,,,27
7,T848,oth complications of internal orthopedic prosth dev/grft,,0,,,27
7,Z798,other long term (current) drug therapy,,0,,,27
7,M963,postlaminectomy kyphosis,,,,,27
7,Q764,"oth congenital malform of spine, not associated w scoliosis",,,,,27
7,T843,"mechanical complication of bone devices, implants and grafts",,,,,27
7,H919,unspecified hearing loss,,0,,,27
7,M069,"rheumatoid arthritis, unspecified",,0,,,27
7,M471,other spondylosis with myelopathy,,0,,,27
7,M478,other spondylosis,,0,,,27
7,M510,"thoracic, thrclm and lumbosacr intvrt disc disord w myelpath",,0,,,27
7,M532,spinal instabilities,,0,,,27
7,M545,low back pain,,0,,,27
7,M961,"postlaminectomy syndrome, not elsewhere classified",,0,,,27
7,T844,"mech comp of internal orth devices, implants and grafts",,0,,,27
7,Z880,allergy status to penicillin,,0,,,27
8,M478,other spondylosis,100,80.64516129,31,25,31
8,I10,essential (primary) hypertension,61.290322581,0,19,,31
8,E785,"hyperlipidemia, unspecified",45.161290323,0,14,,31
8,K219,gastro-esophageal reflux disease without esophagitis,38.709677419,0,12,,31
8,G473,sleep apnea,,0,,,31
8,Z798,other long term (current) drug therapy,,0,,,31
8,K590,constipation,,0,,,31
8,Z878,personal history of other specified conditions,,0,,,31
8,M199,"osteoarthritis, unspecified site",,0,,,31
8,Z981,arthrodesis status,,0,,,31
8,M464,"discitis, unspecified",,,,,31
8,D62,acute posthemorrhagic anemia,,0,,,31
8,E669,"obesity, unspecified",,0,,,31
8,E780,pure hypercholesterolemia,,0,,,31
8,M545,low back pain,,0,,,31
8,M462,osteomyelitis of vertebra,,,,,31
8,E876,hypokalemia,,0,,,31
8,G439,"migraine, unspecified",,0,,,31
8,F329,"major depressive disorder, single episode, unspecified",,0,,,31
8,G891,"acute pain, not elsewhere classified",,0,,,31
8,G892,"chronic pain, not elsewhere classified",,0,,,31
8,Z854,personal history of malignant neoplasm of genital organs,,0,,,31
8,Z880,allergy status to penicillin,,0,,,31
8,Z966,presence of orthopedic joint implants,,0,,,31
8,A419,"sepsis, unspecified organism",,,,,31
8,C795,secondary malignant neoplasm of bone and bone marrow,,,,,31
8,M510,"thoracic, thrclm and lumbosacr intvrt disc disord w myelpath",,,,,31
8,T842,mechanical complication of internal fixation device of bones,,,,,31
8,G974,accidental pnctr & lac of a nervous system org dur proc,,0,,,31
8,J459,other and unspecified asthma,,0,,,31
8,M402,other and unspecified kyphosis,,0,,,31
8,M419,"scoliosis, unspecified",,0,,,31
8,M479,"spondylosis, unspecified",,0,,,31
8,M541,radiculopathy,,0,,,31
8,M713,other bursal cyst,,0,,,31
8,M796,"pain in limb, hand, foot, fingers and toes",,0,,,31
8,T856,mechanical comp of internal and external prosth dev/grft,,0,,,31
